"cell","vpu","HUC4","area_Estimate","AISP_mgafdm_est","AISP_mgafdm_LowQ","AISP_mgafdm_HiQ","Emer_gAFDM","Total_Emerg_gafdm","Total_Emerg_kJ"
11060359,"17",1711,4024.27381891012,7295.43551728098,925.736,142561.375,1.39741222113665,5623.56941574528,64707.6014822731
11060367,"17",1711,26694.7093118131,7796.72694361223,925.736,142561.375,1.49343263881384,39866.7501699095,458726.760830064
11060528,"17",1701,81854.9593375828,9992.78637809328,599.201,59659.0989999999,1.91407925885689,156676.879902642,1802802.51859975
11060578,"17",1701,36823.0755693279,1356.51194434381,35.163,19149.604,0.259834572542473,9567.90810025551,110093.13455559
11060734,"10U",1005,96177.574262023,15356.5364668513,2409.33360795959,59659.0989999999,2.94148466973315,282904.860263862,3255244.77462613
11060782,"10U",1006,3423.22174456407,10923.7783717681,1086.222,59659.0989999999,2.09240714437653,7162.77363511094,82418.4548324041
11060795,"10U",1006,6169.41147014126,14177.3088743686,2057.24079837762,59659.0989999999,2.71560822338069,16753.7045217348,192776.501079341
11067442,"17",1711,28872.5755587816,9868.21370406781,925.736,142561.375,1.89021784898074,54575.4576672542,627972.50364826
11067542,"17",1702,544603.605154991,9205.19903310389,1081.88925757806,21015.173,1.76321997451482,960255.954802063,11049185.1439299
11067921,"10U",1011,6305.15357479453,6768.82488689387,1086.222,59659.0989999999,1.29654200866746,8174.89648082092,94064.446356566
11074542,"17",1711,42893.4018128589,2063.23201140559,35.163,142561.375,0.395204045179896,16951.6459079685,195054.11364004
11074904,"10U",1005,18412.0358862393,10915.8108254998,1086.222,59659.0989999999,2.09088099196227,38497.3758578648,442970.055308521
11074936,"10U",1006,6086.79005563259,11208.7991075099,1086.222,59659.0989999999,2.14700175472701,13068.3489300981,150370.956964173
11075237,"09",903,48864.1104453746,4747.90475377044,226,49102.887,0.909442638756188,44439.1055439153,511338.567941061
